,Station,Year,Month,Day,T_min,T_avg,T_max,Precipitation
0,26063,1881,1,1,-1.5,-0.2,1.0,1.3
1,26063,1881,1,2,-2.5,-1.1,1.7,0.1
2,26063,1881,1,3,-0.9,1.1,1.9,0.0
3,26063,1881,1,4,0.7,1.7,2.2,0.4
4,26063,1881,1,5,-10.4,-6.1,2.2,0.0
5,26063,1881,1,6,-11.9,-7.6,-2.0,1.3
6,26063,1881,1,7,-8.5,-5.5,0.7,0.1
7,26063,1881,1,8,-13.3,-10.8,-7.0,0.2
8,26063,1881,1,9,-15.6,-10.6,-9.1,2.0
9,26063,1881,1,10,-14.8,-13.4,-9.2,9.4
10,26063,1881,1,11,-23.2,-19.0,-14.6,2.0
11,26063,1881,1,12,-26.4,-23.6,-19.8,0.0
12,26063,1881,1,13,-23.1,-18.5,-14.0,0.0
13,26063,1881,1,14,-24.7,-22.1,-18.5,0.0
14,26063,1881,1,15,-25.7,-14.4,-13.1,2.2
15,26063,1881,1,16,-16.4,-15.5,-14.7,0.5
16,26063,1881,1,17,-24.6,-22.0,-16.1,0.6
17,26063,1881,1,18,-26.6,-22.2,-21.5,0.2
18,26063,1881,1,19,-25.3,-22.4,-20.1,0.2
19,26063,1881,1,20,-22.0,-19.4,-17.5,0.0
20,26063,1881,1,21,-21.8,-18.4,-16.7,0.0
21,26063,1881,1,22,-22.1,-19.8,-17.9,0.2
22,26063,1881,1,23,-18.5,-16.4,-15.1,0.0
23,26063,1881,1,24,-19.1,-12.3,-5.3,2.4
24,26063,1881,1,25,-9.5,-6.2,-1.6,0.2
25,26063,1881,1,26,-3.8,-1.5,-0.4,2.3
26,26063,1881,1,27,-11.5,-7.5,-1.8,0.1
27,26063,1881,1,28,-13.8,-8.2,-5.4,0.0
28,26063,1881,1,29,-14.1,-11.0,-7.1,0.0
29,26063,1881,1,30,-11.4,-6.0,-4.8,1.1
30,26063,1881,1,31,-7.0,-4.8,-3.2,0.2
31,26063,1881,2,1,-5.7,-4.3,-3.1,5.5
32,26063,1881,2,2,-3.6,-1.2,0.3,1.0
33,26063,1881,2,3,-11.3,-6.4,-0.4,1.6
34,26063,1881,2,4,-24.6,-22.0,-10.9,0.0
35,26063,1881,2,5,-24.1,-17.8,-15.0,0.0
36,26063,1881,2,6,-15.4,-8.0,-4.5,0.0
37,26063,1881,2,7,-19.1,-8.6,-1.3,1.0
38,26063,1881,2,8,-21.0,-17.0,-14.2,0.0
39,26063,1881,2,9,-15.8,-10.8,-9.6,1.7
40,26063,1881,2,10,-10.6,-6.1,-1.5,2.2
41,26063,1881,2,11,-1.8,0.7,1.5,5.0
42,26063,1881,2,12,-0.4,0.7,2.3,0.9
43,26063,1881,2,13,-11.3,-10.2,-0.3,0.0
44,26063,1881,2,14,-11.1,-10.6,-8.6,0.0
45,26063,1881,2,15,-8.6,-5.5,-3.5,0.7
46,26063,1881,2,16,-4.7,-2.1,-0.7,0.0
47,26063,1881,2,17,-3.5,-2.6,-1.2,0.0
48,26063,1881,2,18,-9.4,-6.7,-3.0,0.0
49,26063,1881,2,19,-9.4,-7.6,-6.3,0.0
50,26063,1881,2,20,-11.5,-9.5,-6.9,0.0
51,26063,1881,2,21,-18.1,-13.4,-6.0,0.0
52,26063,1881,2,22,-17.8,-12.6,-5.3,0.0
53,26063,1881,2,23,-19.3,-15.6,-11.5,0.0
54,26063,1881,2,24,-20.2,-13.4,-6.6,0.0
55,26063,1881,2,25,-15.1,-9.0,-3.0,0.0
56,26063,1881,2,26,-16.2,-11.5,-8.2,2.5
57,26063,1881,2,27,-15.1,-12.9,-6.0,0.0
58,26063,1881,2,28,-20.3,-15.7,-11.7,0.0
59,26063,1881,3,1,-15.8,-11.0,-8.5,6.5
60,26063,1881,3,2,-10.4,-4.7,-0.1,0.3
61,26063,1881,3,3,-15.4,-12.0,-9.3,0.0
62,26063,1881,3,4,-11.1,-7.4,-5.2,0.1
63,26063,1881,3,5,-12.9,-9.2,-6.5,0.8
64,26063,1881,3,6,-11.3,-9.5,-6.4,1.6
65,26063,1881,3,7,-13.2,-10.3,-7.8,0.3
66,26063,1881,3,8,-20.8,-11.7,-6.7,3.7
67,26063,1881,3,9,-7.2,-0.7,2.2,3.4
68,26063,1881,3,10,-5.7,-3.9,1.1,0.1
69,26063,1881,3,11,-6.3,-4.5,-1.8,0.0
70,26063,1881,3,12,-7.5,-4.8,-0.6,0.4
71,26063,1881,3,13,-8.3,-6.3,-3.4,0.0
72,26063,1881,3,14,-15.2,-9.0,-3.6,0.0
73,26063,1881,3,15,-22.0,-13.6,-4.7,0.0
74,26063,1881,3,16,-13.4,-7.0,0.2,0.0
75,26063,1881,3,17,-9.2,-4.4,2.6,0.0
76,26063,1881,3,18,-11.3,-3.0,1.5,2.0
77,26063,1881,3,19,-2.3,0.4,2.4,0.0
78,26063,1881,3,20,-17.6,-11.6,-2.1,0.0
