Date,T_min,T_max,Precipitation
2004-01-01,-4.1,4.7,0.0
2004-01-02,-2.9,5.4,0.0
2004-01-03,0.5,6.6,0.0
2004-01-04,2.2,9.4,0.3
2004-01-05,3.8,8.8,3.1
2004-01-06,2.7,9.1,1.8
2004-01-07,1.1,5.2,1.9
2004-01-08,0.2,2.6,10.6
2004-01-09,-2.1,4.8,0.0
2004-01-10,0.0,5.2,0.5
2004-01-11,-3.3,3.0,0.0
2004-01-12,-3.9,3.1,0.0
2004-01-13,1.0,4.4,0.4
2004-01-14,0.2,3.0,0.0
2004-01-15,0.3,9.7,5.4
2004-01-16,3.6,15.9,1.1
2004-01-17,2.5,10.2,0.8
2004-01-18,-1.7,7.3,0.0
2004-01-19,1.3,11.5,0.0
2004-01-20,2.5,10.1,0.0
2004-01-21,8.5,13.6,0.0
2004-01-22,6.5,12.9,0.0
2004-01-23,1.8,9.6,1.1
2004-01-24,3.9,6.6,7.5
2004-01-25,1.2,4.9,6.4
2004-01-26,1.0,5.5,0.0
2004-01-27,1.3,7.0,0.0
2004-01-28,3.0,11.4,0.0
2004-01-29,5.3,16.3,0.0
2004-01-30,0.8,12.4,0.0
2004-01-31,2.7,9.2,0.1
2004-02-01,0.3,4.4,0.1
2004-02-02,0.4,5.7,0.4
2004-02-03,0.8,7.2,4.4
2004-02-04,0.8,2.8,1.3
2004-02-05,-0.1,5.5,0.1
2004-02-06,4.5,7.2,14.0
2004-02-07,6.0,11.0,8.8
2004-02-08,8.5,13.4,0.3
2004-02-09,6.0,10.4,2.1
2004-02-10,4.0,9.5,4.7
2004-02-11,-1.1,7.2,3.8
2004-02-12,0.0,7.6,0.0
2004-02-13,-0.1,7.6,0.0
2004-02-14,-4.5,6.4,6.9
2004-02-15,-4.4,2.6,4.6
2004-02-16,-6.1,5.1,0.0
2004-02-17,-1.6,2.7,0.6
2004-02-18,-0.7,5.9,0.1
2004-02-19,1.3,7.1,0.0
2004-02-20,0.8,5.6,5.9
2004-02-21,-3.4,2.6,21.6
2004-02-22,-6.2,-0.6,0.5
2004-02-23,-3.6,0.5,0.0
2004-02-24,-0.2,7.1,0.6
2004-02-25,3.0,11.5,4.0
2004-02-26,7.9,11.6,0.3
2004-02-27,4.2,20.1,0.0
2004-02-28,12.0,18.9,1.5
2004-02-29,7.3,19.9,0.0
2004-03-01,10.5,18.0,15.7
2004-03-02,2.9,14.5,0.0
2004-03-03,5.4,13.7,0.3
2004-03-04,4.5,8.7,13.3
2004-03-05,0.5,6.3,28.2
2004-03-06,-2.4,2.6,0.2
2004-03-07,-4.6,2.5,0.0
2004-03-08,-0.5,6.4,0.0
2004-03-09,-2.2,6.9,0.0
2004-03-10,1.3,8.3,0.0
2004-03-11,3.6,5.6,4.2
2004-03-12,1.7,7.3,0.1
2004-03-13,-1.8,7.0,0.0
2004-03-14,0.2,7.4,0.0
2004-03-15,1.7,8.2,0.0
2004-03-16,-0.8,6.6,0.0
2004-03-17,-0.4,9.2,0.0
2004-03-18,3.1,10.5,0.0
2004-03-19,1.3,10.9,0.5
2004-03-20,5.8,13.0,0.0
2004-03-21,8.8,17.4,0.0
2004-03-22,11.5,20.4,0.0
2004-03-23,9.6,22.6,0.0
2004-03-24,7.9,25.8,0.0
2004-03-25,12.3,23.0,0.0
2004-03-26,11.1,18.4,1.2
2004-03-27,9.4,16.3,2.9
2004-03-28,11.4,20.2,0.8
2004-03-29,4.4,18.8,25.1
2004-03-30,3.2,10.6,10.0
2004-03-31,6.2,12.7,1.3
2004-04-01,6.9,11.3,0.0
2004-04-02,-0.4,9.4,1.4
2004-04-03,-3.2,1.0,0.8
2004-04-04,-5.6,1.5,0.0
2004-04-05,-0.4,7.7,0.0
2004-04-06,3.3,16.5,0.0
2004-04-07,9.7,21.4,0.0
2004-04-08,7.4,24.3,0.0
2004-04-09,10.6,22.0,0.0
2004-04-10,7.8,23.1,0.0
2004-04-11,15.9,26.6,0.0
2004-04-12,15.0,28.6,0.0
2004-04-13,14.3,26.1,0.0
2004-04-14,13.0,22.2,1.6
2004-04-15,5.7,19.8,2.8
2004-04-16,2.2,16.2,0.0
2004-04-17,9.0,15.7,2.9
2004-04-18,3.9,15.0,0.0
2004-04-19,5.5,16.3,0.0
2004-04-20,6.4,17.3,0.0
2004-04-21,6.0,18.8,0.0
2004-04-22,9.0,18.1,0.0
2004-04-23,11.6,16.4,2.5
2004-04-24,10.1,13.9,12.7
2004-04-25,9.1,17.1,0.7
2004-04-26,6.2,18.7,0.7
2004-04-27,8.3,23.8,0.0
2004-04-28,14.0,23.8,1.4
2004-04-29,12.6,19.5,0.0
2004-04-30,11.5,16.1,6.2
2004-05-01,12.4,20.1,0.3
2004-05-02,10.1,19.6,0.0
2004-05-03,7.9,21.8,0.0
2004-05-04,10.0,23.4,0.0
2004-05-05,11.2,23.8,0.0
2004-05-06,12.6,23.1,0.0
2004-05-07,13.9,20.4,3.3
2004-05-08,14.2,25.8,1.7
2004-05-09,11.5,28.0,0.0
2004-05-10,14.3,26.8,0.0
2004-05-11,15.2,23.7,0.0
2004-05-12,13.2,18.3,0.7
2004-05-13,14.0,21.2,2.8
2004-05-14,9.3,22.1,0.0
2004-05-15,12.4,21.1,0.0
2004-05-16,9.5,19.3,0.0
2004-05-17,11.0,17.7,1.4
2004-05-18,11.5,21.5,0.0
2004-05-19,11.0,19.5,6.9
2004-05-20,10.2,15.8,0.6
2004-05-21,12.0,21.0,1.2
2004-05-22,11.1,26.5,0.0
2004-05-23,12.6,28.0,0.0
2004-05-24,13.0,28.7,0.0
2004-05-25,15.8,27.5,0.0
2004-05-26,11.3,19.4,0.0
2004-05-27,13.1,18.2,0.6
2004-05-28,12.5,18.3,5.9
