Date ;All sky;Clear sky
1/1/2004;6.31;1.91
1/2/2004;6.12;1.86
1/3/2004;5.88;1.88
1/4/2004;7.07;1.95
1/5/2004;7.12;1.97
1/6/2004;6.56;2.03
1/7/2004;6.72;2.06
1/8/2004;6.55;2.08
1/9/2004;6.48;2.13
1/10/2004;5.92;2.17
1/11/2004;5.56;2.11
1/12/2004;6.78;2.18
1/13/2004;6.66;2.18
1/14/2004;6.08;2.22
1/15/2004;6.85;2.20
1/16/2004;6.98;2.20
1/17/2004;6.26;2.30
1/18/2004;5.66;2.40
1/19/2004;6.36;2.36
1/20/2004;7.24;2.34
1/21/2004;6.98;2.38
1/22/2004;7.15;2.40
1/23/2004;6.88;2.44
1/24/2004;6.91;2.49
1/25/2004;6.74;2.50
1/26/2004;6.75;2.61
1/27/2004;6.77;2.61
1/28/2004;6.38;2.69
1/29/2004;6.75;2.66
1/30/2004;6.62;2.78
1/31/2004;6.98;2.77
2/1/2004;7.09;2.75
2/2/2004;6.87;2.82
2/3/2004;6.83;2.84
2/4/2004;6.76;2.88
2/5/2004;6.49;2.84
2/6/2004;7.06;2.94
2/7/2004;7.01;3.00
2/8/2004;7.27;3.02
2/9/2004;7.19;3.01
2/10/2004;6.57;3.24
2/11/2004;5.32;3.53
2/12/2004;6.19;3.35
2/13/2004;6.76;3.34
2/14/2004;6.70;3.39
2/15/2004;6.28;3.59
2/16/2004;6.67;3.74
2/17/2004;6.58;3.77
2/18/2004;6.97;3.81
2/19/2004;6.83;3.79
2/20/2004;6.37;3.89
2/21/2004;6.26;3.76
2/22/2004;6.42;3.81
2/23/2004;6.84;3.87
2/24/2004;7.11;3.93
2/25/2004;7.29;3.89
2/26/2004;6.91;3.59
2/27/2004;6.96;4.09
2/28/2004;7.38;4.03
2/29/2004;7.75;4.00
3/1/2004;7.57;3.90
3/2/2004;6.39;4.46
3/3/2004;7.52;4.08
3/4/2004;7.06;4.13
3/5/2004;6.81;4.24
3/6/2004;6.95;4.53
3/7/2004;6.42;4.64
3/8/2004;6.26;4.65
3/9/2004;6.07;4.78
3/10/2004;6.77;4.62
3/11/2004;6.97;4.61
3/12/2004;6.58;4.92
3/13/2004;5.80;5.05
3/14/2004;6.95;4.88
3/15/2004;6.88;5.03
3/16/2004;7.25;4.91
3/17/2004;7.24;4.51
3/18/2004;7.39;5.13
3/19/2004;7.12;5.16
3/20/2004;7.63;5.11
3/21/2004;7.81;4.62
3/22/2004;7.24;5.25
3/23/2004;6.89;5.44
3/24/2004;7.66;5.04
3/25/2004;7.39;5.11
3/26/2004;7.50;5.66
3/27/2004;7.77;5.46
3/28/2004;8.00;5.64
3/29/2004;7.59;5.59
3/30/2004;7.58;5.86
3/31/2004;7.15;5.82
4/1/2004;7.43;5.91
