Date,T_min,T_max,Precipitation,All sky,Clear sky
2004-01-01,-4.1,4.7,0.0,6.31,1.91
2004-01-01,-4.1,4.7,0.0,6.12,1.86
2004-01-01,-4.1,4.7,0.0,5.88,1.88
2004-01-01,-4.1,4.7,0.0,7.07,1.95
2004-01-01,-4.1,4.7,0.0,7.12,1.97
2004-01-01,-4.1,4.7,0.0,6.56,2.03
2004-01-01,-4.1,4.7,0.0,6.72,2.06
2004-01-01,-4.1,4.7,0.0,6.55,2.08
2004-01-01,-4.1,4.7,0.0,6.48,2.13
2004-01-01,-4.1,4.7,0.0,5.92,2.17
2004-01-01,-4.1,4.7,0.0,5.56,2.11
2004-01-01,-4.1,4.7,0.0,6.78,2.18
2004-01-01,-4.1,4.7,0.0,6.66,2.18
2004-01-01,-4.1,4.7,0.0,6.08,2.22
2004-01-01,-4.1,4.7,0.0,6.85,2.2
2004-01-01,-4.1,4.7,0.0,6.98,2.2
2004-01-01,-4.1,4.7,0.0,6.26,2.3
2004-01-01,-4.1,4.7,0.0,5.66,2.4
2004-01-01,-4.1,4.7,0.0,6.36,2.36
2004-01-01,-4.1,4.7,0.0,7.24,2.34
2004-01-01,-4.1,4.7,0.0,6.98,2.38
2004-01-01,-4.1,4.7,0.0,7.15,2.4
2004-01-01,-4.1,4.7,0.0,6.88,2.44
2004-01-01,-4.1,4.7,0.0,6.91,2.49
2004-01-01,-4.1,4.7,0.0,6.74,2.5
2004-01-01,-4.1,4.7,0.0,6.75,2.61
2004-01-01,-4.1,4.7,0.0,6.77,2.61
2004-01-01,-4.1,4.7,0.0,6.38,2.69
2004-01-01,-4.1,4.7,0.0,6.75,2.66
2004-01-01,-4.1,4.7,0.0,6.62,2.78
2004-01-01,-4.1,4.7,0.0,6.98,2.77
2004-01-01,-4.1,4.7,0.0,7.09,2.75
2004-01-01,-4.1,4.7,0.0,6.87,2.82
2004-01-01,-4.1,4.7,0.0,6.83,2.84
2004-01-01,-4.1,4.7,0.0,6.76,2.88
2004-01-01,-4.1,4.7,0.0,6.49,2.84
2004-01-01,-4.1,4.7,0.0,7.06,2.94
2004-01-01,-4.1,4.7,0.0,7.01,3.0
2004-01-01,-4.1,4.7,0.0,7.27,3.02
2004-01-01,-4.1,4.7,0.0,7.19,3.01
2004-01-01,-4.1,4.7,0.0,6.57,3.24
2004-01-01,-4.1,4.7,0.0,5.32,3.53
2004-01-01,-4.1,4.7,0.0,6.19,3.35
2004-01-01,-4.1,4.7,0.0,6.76,3.34
2004-01-01,-4.1,4.7,0.0,6.7,3.39
2004-01-01,-4.1,4.7,0.0,6.28,3.59
2004-01-01,-4.1,4.7,0.0,6.67,3.74
2004-01-01,-4.1,4.7,0.0,6.58,3.77
2004-01-01,-4.1,4.7,0.0,6.97,3.81
2004-01-01,-4.1,4.7,0.0,6.83,3.79
2004-01-01,-4.1,4.7,0.0,6.37,3.89
2004-01-01,-4.1,4.7,0.0,6.26,3.76
2004-01-01,-4.1,4.7,0.0,6.42,3.81
2004-01-01,-4.1,4.7,0.0,6.84,3.87
2004-01-01,-4.1,4.7,0.0,7.11,3.93
2004-01-01,-4.1,4.7,0.0,7.29,3.89
2004-01-01,-4.1,4.7,0.0,6.91,3.59
2004-01-01,-4.1,4.7,0.0,6.96,4.09
2004-01-01,-4.1,4.7,0.0,7.38,4.03
2004-01-01,-4.1,4.7,0.0,7.75,4.0
2004-01-01,-4.1,4.7,0.0,7.57,3.9
2004-01-01,-4.1,4.7,0.0,6.39,4.46
2004-01-01,-4.1,4.7,0.0,7.52,4.08
2004-01-01,-4.1,4.7,0.0,7.06,4.13
2004-01-01,-4.1,4.7,0.0,6.81,4.24
2004-01-01,-4.1,4.7,0.0,6.95,4.53
2004-01-01,-4.1,4.7,0.0,6.42,4.64
2004-01-01,-4.1,4.7,0.0,6.26,4.65
2004-01-01,-4.1,4.7,0.0,6.07,4.78
2004-01-01,-4.1,4.7,0.0,6.77,4.62
2004-01-01,-4.1,4.7,0.0,6.97,4.61
2004-01-01,-4.1,4.7,0.0,6.58,4.92
2004-01-01,-4.1,4.7,0.0,5.8,5.05
2004-01-01,-4.1,4.7,0.0,6.95,4.88
2004-01-01,-4.1,4.7,0.0,6.88,5.03
2004-01-01,-4.1,4.7,0.0,7.25,4.91
2004-01-01,-4.1,4.7,0.0,7.24,4.51
2004-01-01,-4.1,4.7,0.0,7.39,5.13
2004-01-01,-4.1,4.7,0.0,7.12,5.16
2004-01-01,-4.1,4.7,0.0,7.63,5.11
2004-01-01,-4.1,4.7,0.0,7.81,4.62
2004-01-01,-4.1,4.7,0.0,7.24,5.25
2004-01-01,-4.1,4.7,0.0,6.89,5.44
2004-01-01,-4.1,4.7,0.0,7.66,5.04
2004-01-01,-4.1,4.7,0.0,7.39,5.11
2004-01-01,-4.1,4.7,0.0,7.5,5.66
2004-01-01,-4.1,4.7,0.0,7.77,5.46
2004-01-01,-4.1,4.7,0.0,8.0,5.64
2004-01-01,-4.1,4.7,0.0,7.59,5.59
2004-01-01,-4.1,4.7,0.0,7.58,5.86
2004-01-01,-4.1,4.7,0.0,7.15,5.82
2004-01-01,-4.1,4.7,0.0,7.43,5.91
