"Year","Month","Day","T_min","T_max","Precipitation"
2004,1,1,-6.9,-2.1,0.4
2004,1,2,-10.9,-6,1.4
2004,1,3,-14.5,-8.2,0
2004,1,4,-14.9,-10.5,0
2004,1,5,-14.5,-4.3,0.2
2004,1,6,-10.5,-5,0.3
2004,1,7,-11.2,-6.3,0.8
2004,1,8,-16.2,-10.8,0
2004,1,9,-17.3,-12.6,0
2004,1,10,-18.9,-10.1,0
2004,1,11,-10.4,-5.4,0.9
2004,1,12,-8.6,-4.6,2.3
2004,1,13,-6.1,-0.8,0.9
2004,1,14,-4.5,-1.7,2.7
2004,1,15,-2,-0.8,7.4
2004,1,16,-5.8,-0.8,1.5
2004,1,17,-7.2,-4,0
2004,1,18,-6.7,-4.3,0
2004,1,19,-6.9,-4.3,1.4
2004,1,20,-16,-4.8,0.2
2004,1,21,-21.5,-7.5,0
2004,1,22,-20.8,-10.8,0.8
2004,1,23,-13.5,-8.7,0
2004,1,24,-12.4,-8.6,0
2004,1,25,-16.1,-11.4,0
2004,1,26,-11.8,-5.9,0.2
2004,1,27,-8.6,-4.4,2.5
2004,1,28,-5,-2.3,2.2
2004,1,29,-5,-3,1.3
2004,1,30,-5.7,-3,2.9
2004,1,31,-6.9,-3.8,0
2004,2,1,-6.3,-2.7,2.4
2004,2,2,-2.9,0.5,0.8
2004,2,3,-2.4,-1,0
2004,2,4,-1.6,2.6,3.6
2004,2,5,0.7,3.2,4.2
2004,2,6,-5.6,1.3,0.9
2004,2,7,-5.4,-2.5,2.6
2004,2,8,-7.5,-2.5,0
2004,2,9,-7.9,-4.3,2
2004,2,10,-16.1,-5.4,0.6
2004,2,11,-18.4,-11.4,0.3
2004,2,12,-19.5,-12.6,0
2004,2,13,-18.5,-4.7,0
2004,2,14,-5.9,-3,4.3
2004,2,15,-4.5,-0.6,4.8
2004,2,16,-5.4,-0.9,0.7
2004,2,17,-16.3,-5.3,2.4
2004,2,18,-15.9,-8,2
2004,2,19,-18.5,-12.4,0
2004,2,20,-18.6,-4.1,0.5
2004,2,21,-4.2,4.2,0
2004,2,22,-3.2,2,0
2004,2,23,-4.5,-2,1.7
2004,2,24,-9.3,-1.5,0.6
2004,2,25,-7.3,-0.6,0
2004,2,26,-3.4,-0.3,0.3
2004,2,27,-3.1,0.7,0
2004,2,28,-1.6,-0.3,2
2004,2,29,-5.7,-1.2,0
