Date,T_min,T_max,Precipitation
2004-01-01,-6.9,-2.1,0.4
2004-01-02,-10.9,-6.0,1.4
2004-01-03,-14.5,-8.2,0.0
2004-01-04,-14.9,-10.5,0.0
2004-01-05,-14.5,-4.3,0.2
2004-01-06,-10.5,-5.0,0.3
2004-01-07,-11.2,-6.3,0.8
2004-01-08,-16.2,-10.8,0.0
2004-01-09,-17.3,-12.6,0.0
2004-01-10,-18.9,-10.1,0.0
2004-01-11,-10.4,-5.4,0.9
2004-01-12,-8.6,-4.6,2.3
2004-01-13,-6.1,-0.8,0.9
2004-01-14,-4.5,-1.7,2.7
2004-01-15,-2.0,-0.8,7.4
2004-01-16,-5.8,-0.8,1.5
2004-01-17,-7.2,-4.0,0.0
2004-01-18,-6.7,-4.3,0.0
2004-01-19,-6.9,-4.3,1.4
2004-01-20,-16.0,-4.8,0.2
2004-01-21,-21.5,-7.5,0.0
2004-01-22,-20.8,-10.8,0.8
2004-01-23,-13.5,-8.7,0.0
2004-01-24,-12.4,-8.6,0.0
2004-01-25,-16.1,-11.4,0.0
2004-01-26,-11.8,-5.9,0.2
2004-01-27,-8.6,-4.4,2.5
2004-01-28,-5.0,-2.3,2.2
2004-01-29,-5.0,-3.0,1.3
2004-01-30,-5.7,-3.0,2.9
2004-01-31,-6.9,-3.8,0.0
2004-02-01,-6.3,-2.7,2.4
2004-02-02,-2.9,0.5,0.8
2004-02-03,-2.4,-1.0,0.0
2004-02-04,-1.6,2.6,3.6
2004-02-05,0.7,3.2,4.2
2004-02-06,-5.6,1.3,0.9
2004-02-07,-5.4,-2.5,2.6
2004-02-08,-7.5,-2.5,0.0
2004-02-09,-7.9,-4.3,2.0
2004-02-10,-16.1,-5.4,0.6
2004-02-11,-18.4,-11.4,0.3
2004-02-12,-19.5,-12.6,0.0
2004-02-13,-18.5,-4.7,0.0
2004-02-14,-5.9,-3.0,4.3
2004-02-15,-4.5,-0.6,4.8
2004-02-16,-5.4,-0.9,0.7
2004-02-17,-16.3,-5.3,2.4
2004-02-18,-15.9,-8.0,2.0
2004-02-19,-18.5,-12.4,0.0
2004-02-20,-18.6,-4.1,0.5
2004-02-21,-4.2,4.2,0.0
2004-02-22,-3.2,2.0,0.0
2004-02-23,-4.5,-2.0,1.7
2004-02-24,-9.3,-1.5,0.6
2004-02-25,-7.3,-0.6,0.0
2004-02-26,-3.4,-0.3,0.3
2004-02-27,-3.1,0.7,0.0
2004-02-28,-1.6,-0.3,2.0
2004-02-29,-5.7,-1.2,0.0
2004-03-01,-8.0,-2.9,0.0
2004-03-02,-4.3,0.3,0.0
2004-03-03,-5.7,-2.4,0.0
2004-03-04,-11.6,-3.0,0.0
2004-03-05,-14.4,-1.1,0.0
2004-03-06,-7.6,-2.9,0.0
2004-03-07,-11.4,-1.0,0.0
2004-03-08,-2.4,1.4,0.6
2004-03-09,-3.2,2.7,0.3
2004-03-10,-9.7,3.0,0.0
2004-03-11,-7.1,2.9,0.0
2004-03-12,-7.3,6.2,0.0
2004-03-13,-6.5,8.3,0.0
2004-03-14,-3.0,7.0,0.0
2004-03-15,1.0,5.3,3.1
2004-03-16,1.6,4.3,3.7
2004-03-17,0.6,3.3,0.0
2004-03-18,1.0,3.1,2.8
2004-03-19,0.7,8.2,0.0
2004-03-20,1.1,4.8,4.6
2004-03-21,0.8,4.2,7.4
2004-03-22,0.5,2.5,2.9
2004-03-23,0.4,2.3,3.6
2004-03-24,0.2,5.6,0.0
2004-03-25,0.2,2.7,13.2
2004-03-26,-0.7,1.6,2.7
2004-03-27,-2.1,0.2,0.6
2004-03-28,-0.7,2.4,0.4
2004-03-29,-2.2,5.3,0.0
2004-03-30,-0.4,5.3,0.0
2004-03-31,-1.4,5.4,0.9
2004-04-01,-6.6,-0.1,0.0
2004-04-02,-7.5,-0.1,0.0
2004-04-03,-4.5,4.2,0.0
2004-04-04,-2.8,5.7,0.0
2004-04-05,-3.7,9.3,0.0
2004-04-06,-2.4,10.2,0.0
2004-04-07,0.7,12.1,0.0
2004-04-08,1.5,11.5,0.0
2004-04-09,1.0,12.4,0.0
2004-04-10,2.4,13.8,0.3
2004-04-11,0.6,10.5,0.3
2004-04-12,1.1,6.5,3.9
2004-04-13,-0.4,6.4,0.0
2004-04-14,-0.9,8.6,0.0
2004-04-15,3.0,8.3,1.0
2004-04-16,-0.2,12.0,0.0
2004-04-17,3.6,15.6,0.0
2004-04-18,4.4,16.8,0.0
2004-04-19,4.7,17.9,0.0
2004-04-20,5.6,19.1,0.0
2004-04-21,5.0,14.7,1.3
2004-04-22,1.5,7.9,0.0
2004-04-23,-0.4,8.0,0.0
2004-04-24,1.0,9.2,0.0
2004-04-25,0.2,10.4,0.0
2004-04-26,-0.5,8.4,0.0
2004-04-27,0.7,8.3,0.0
2004-04-28,2.0,7.5,0.9
2004-04-29,2.8,8.5,0.0
2004-04-30,4.1,13.2,0.0
2004-05-01,2.0,15.7,0.0
2004-05-02,6.4,17.3,0.0
2004-05-03,6.9,20.7,0.0
2004-05-04,11.4,22.6,0.0
2004-05-05,15.7,25.8,0.0
2004-05-06,14.8,26.4,0.0
2004-05-07,14.8,26.4,0.0
2004-05-08,12.0,25.6,0.0
2004-05-09,10.3,23.0,0.0
2004-05-10,11.9,17.9,3.1
2004-05-11,2.6,14.5,1.1
2004-05-12,0.0,6.4,0.0
2004-05-13,-0.6,8.7,0.0
2004-05-14,0.5,11.2,0.0
2004-05-15,4.6,8.9,4.0
2004-05-16,4.7,9.9,4.2
2004-05-17,1.5,10.9,0.0
2004-05-18,3.9,14.6,0.3
2004-05-19,7.0,15.6,4.9
2004-05-20,7.8,12.7,18.1
2004-05-21,6.5,10.6,0.1
2004-05-22,6.7,12.2,0.0
2004-05-23,5.0,11.9,3.7
2004-05-24,4.7,15.3,2.1
2004-05-25,5.9,15.9,0.0
2004-05-26,5.6,17.5,0.0
2004-05-27,9.1,13.9,8.1
2004-05-28,7.6,16.4,0.0
2004-05-29,9.3,17.0,3.3
2004-05-30,9.4,15.0,6.3
2004-05-31,5.9,12.4,7.6
2004-06-01,5.6,12.9,1.2
2004-06-02,7.6,16.9,0.7
2004-06-03,6.7,16.2,0.0
2004-06-04,11.4,19.8,0.0
2004-06-05,10.9,22.3,0.0
2004-06-06,13.7,19.5,0.4
2004-06-07,11.8,17.5,0.0
2004-06-08,7.9,16.9,9.7
2004-06-09,7.8,14.1,0.0
2004-06-10,5.8,17.6,0.0
2004-06-11,9.6,19.3,0.0
2004-06-12,13.0,19.4,0.0
2004-06-13,12.1,21.6,0.0
2004-06-14,12.4,19.2,2.7
2004-06-15,10.4,15.6,1.9
2004-06-16,9.3,14.8,7.9
2004-06-17,10.0,14.7,12.1
2004-06-18,9.1,17.1,1.1
2004-06-19,9.3,19.1,0.0
2004-06-20,11.9,20.8,0.4
2004-06-21,13.2,17.0,8.8
2004-06-22,12.2,18.7,7.6
2004-06-23,11.5,19.3,4.3
2004-06-24,10.8,23.3,0.0
2004-06-25,15.7,26.3,1.0
2004-06-26,14.3,25.5,0.0
2004-06-27,14.7,24.9,0.0
2004-06-28,16.5,22.6,0.0
2004-06-29,15.8,19.7,4.6
2004-06-30,14.6,17.2,44.3
2004-07-01,13.2,20.4,1.0
2004-07-02,13.5,24.2,0.0
2004-07-03,15.0,20.8,0.0
2004-07-04,12.7,23.3,0.0
2004-07-05,13.2,19.3,8.2
2004-07-06,13.8,19.4,2.4
2004-07-07,13.5,20.4,0.0
2004-07-08,11.6,20.7,0.0
2004-07-09,12.2,22.7,0.0
2004-07-10,14.0,24.1,2.7
2004-07-11,16.5,24.1,0.7
2004-07-12,14.8,21.7,2.2
2004-07-13,14.2,23.4,5.1
2004-07-14,14.3,20.4,2.5
2004-07-15,14.5,19.1,9.7
2004-07-16,14.0,18.9,28.8
2004-07-17,13.8,22.1,0.0
2004-07-18,13.0,22.2,0.0
2004-07-19,13.8,25.1,0.0
2004-07-20,16.6,23.9,0.0
2004-07-21,17.5,24.3,0.0
2004-07-22,14.8,24.6,0.0
2004-07-23,18.6,24.0,0.0
2004-07-24,16.9,25.1,0.0
2004-07-25,16.3,25.3,0.0
2004-07-26,18.2,24.5,0.0
2004-07-27,17.2,25.0,0.0
2004-07-28,18.4,25.3,0.5
2004-07-29,16.8,21.8,2.4
2004-07-30,16.3,21.0,2.8
2004-07-31,17.7,25.1,13.7
2004-08-01,17.2,26.4,0.0
2004-08-02,18.3,27.5,0.1
2004-08-03,18.8,27.8,0.0
2004-08-04,17.6,27.4,0.0
2004-08-05,17.1,28.3,0.0
2004-08-06,18.0,27.8,0.0
2004-08-07,18.1,26.9,0.0
2004-08-08,17.4,26.0,0.4
2004-08-09,15.5,21.1,2.9
2004-08-10,12.5,18.4,0.0
2004-08-11,14.3,22.6,4.0
2004-08-12,12.2,19.2,1.1
2004-08-13,9.8,17.2,4.8
2004-08-14,10.6,16.2,2.0
2004-08-15,8.5,17.0,0.5
2004-08-16,11.8,18.1,0.6
2004-08-17,11.8,19.5,6.8
2004-08-18,17.5,21.1,3.5
2004-08-19,16.5,21.1,0.0
2004-08-20,16.5,25.5,10.7
2004-08-21,15.4,21.1,30.4
2004-08-22,15.4,23.9,0.0
2004-08-23,15.3,19.7,0.8
2004-08-24,11.3,16.8,2.6
2004-08-25,9.7,18.9,0.0
2004-08-26,12.2,15.5,0.0
2004-08-27,13.0,16.2,11.9
2004-08-28,15.4,19.9,1.2
2004-08-29,15.5,20.6,0.0
2004-08-30,12.8,23.6,0.0
2004-08-31,16.0,25.5,0.0
2004-09-01,16.4,26.2,0.0
2004-09-02,15.4,22.9,0.8
2004-09-03,16.6,22.8,0.8
2004-09-04,11.5,16.6,0.0
2004-09-05,8.6,19.9,0.0
2004-09-06,15.3,17.9,0.0
2004-09-07,10.2,16.6,0.0
2004-09-08,7.2,12.1,5.5
2004-09-09,4.5,11.9,0.0
2004-09-10,5.9,15.7,2.2
2004-09-11,12.2,16.3,0.0
2004-09-12,10.9,16.8,0.0
2004-09-13,14.8,16.6,3.4
2004-09-14,13.5,20.0,1.6
2004-09-15,12.8,16.3,28.1
2004-09-16,10.7,16.7,1.2
2004-09-17,6.6,13.7,4.9
2004-09-18,11.0,13.9,0.7
2004-09-19,11.7,16.7,0.1
2004-09-20,10.9,17.7,0.8
2004-09-21,11.9,16.8,4.2
2004-09-22,11.1,13.8,1.5
2004-09-23,10.3,13.7,4.9
2004-09-24,10.1,13.4,0.0
2004-09-25,8.6,11.5,6.3
2004-09-26,9.8,15.1,3.5
2004-09-27,10.1,14.7,1.0
2004-09-28,9.9,14.0,4.1
2004-09-29,10.1,13.6,12.4
2004-09-30,8.6,12.6,0.9
2004-10-01,6.0,13.6,0.0
2004-10-02,6.4,10.6,0.0
2004-10-03,6.5,9.8,0.0
2004-10-04,6.9,8.6,0.0
2004-10-05,7.2,12.3,0.0
2004-10-06,10.1,14.8,3.2
2004-10-07,11.1,15.2,0.0
2004-10-08,9.3,12.1,3.7
2004-10-09,3.9,9.3,5.9
2004-10-10,-0.2,5.8,0.0
2004-10-11,0.8,5.4,0.0
2004-10-12,-1.2,8.8,0.0
2004-10-13,6.8,10.4,0.0
2004-10-14,6.2,10.0,0.0
2004-10-15,1.0,9.8,0.0
2004-10-16,1.0,9.3,0.0
2004-10-17,6.2,9.6,0.1
2004-10-18,6.1,9.0,0.4
2004-10-19,4.1,6.3,7.5
2004-10-20,3.0,5.1,0.6
2004-10-21,3.5,5.4,0.6
2004-10-22,3.4,7.4,2.6
2004-10-23,7.3,9.3,9.5
2004-10-24,6.4,8.3,1.0
2004-10-25,4.5,10.4,0.0
2004-10-26,4.3,12.0,2.9
2004-10-27,7.6,10.8,2.0
2004-10-28,4.7,8.8,0.0
2004-10-29,3.1,7.0,0.0
2004-10-30,0.1,3.3,0.0
2004-10-31,-1.2,1.6,0.0
2004-11-01,1.4,7.5,0.0
2004-11-02,2.5,6.4,0.0
2004-11-03,3.3,8.1,0.0
2004-11-04,4.3,6.9,0.0
2004-11-05,4.9,8.1,1.0
2004-11-06,5.2,8.0,10.3
2004-11-07,3.1,6.0,1.2
2004-11-08,2.4,6.7,0.0
2004-11-09,4.3,6.0,0.0
2004-11-10,-0.3,4.5,0.0
2004-11-11,2.1,5.9,0.0
2004-11-12,5.5,9.0,1.0
2004-11-13,4.2,8.8,3.6
2004-11-14,1.9,4.5,0.1
2004-11-15,0.9,8.2,7.4
2004-11-16,-0.3,4.0,7.9
2004-11-17,-2.4,0.5,0.4
2004-11-18,-5.4,-1.8,0.0
2004-11-19,-5.0,-2.4,0.0
2004-11-20,-7.8,-2.9,0.0
2004-11-21,-7.3,-3.5,5.5
2004-11-22,-9.3,-5.2,0.3
2004-11-23,-8.5,-5.6,0.2
2004-11-24,-7.3,-6.4,0.0
2004-11-25,-7.5,-0.9,2.1
2004-11-26,-4.5,-2.4,0.0
2004-11-27,-7.0,-2.8,0.0
2004-11-28,-9.3,-6.3,0.0
2004-11-29,-11.4,-7.1,1.6
2004-11-30,-9.4,-6.9,1.4
2004-12-01,-7.2,3.0,11.0
2004-12-02,1.3,3.0,1.4
2004-12-03,-4.0,1.5,0.5
2004-12-04,-8.6,-3.7,2.7
2004-12-05,-4.7,3.4,3.9
2004-12-06,1.6,4.4,4.4
2004-12-07,-0.5,3.9,2.6
2004-12-08,0.8,3.8,0.0
2004-12-09,-1.3,1.5,0.0
2004-12-10,-1.8,1.2,0.0
2004-12-11,0.6,3.7,0.0
2004-12-12,-2.4,2.7,0.8
2004-12-13,-7.5,-2.1,0.0
2004-12-14,-7.4,-1.1,0.0
2004-12-15,-1.5,2.6,2.4
2004-12-16,0.6,3.8,4.3
2004-12-17,1.7,3.4,0.0
2004-12-18,-0.6,2.3,0.5
2004-12-19,-0.8,1.5,4.2
2004-12-20,-1.3,1.6,0.7
2004-12-21,-5.1,-0.6,11.3
2004-12-22,-5.6,-3.6,0.0
2004-12-23,-4.4,-2.1,0.8
2004-12-24,-4.1,0.7,3.6
2004-12-25,-10.0,-1.0,0.0
2004-12-26,-5.9,2.8,2.0
2004-12-27,-1.4,1.0,0.0
2004-12-28,-8.0,-1.3,0.0
2004-12-29,-4.3,-0.4,0.0
2004-12-30,-1.3,2.0,0.3
2004-12-31,0.2,3.3,4.4
2005-01-01,-2.4,0.3,0.0
2005-01-02,-2.4,-0.8,0.0
2005-01-03,-1.2,2.4,1.2
2005-01-04,-0.3,1.1,3.2
2005-01-05,-1.7,0.3,5.6
2005-01-06,-4.4,-1.0,0.9
2005-01-07,-2.1,2.7,10.1
2005-01-08,2.4,5.0,7.9
2005-01-09,0.8,5.6,11.7
2005-01-10,-0.7,1.5,1.5
2005-01-11,0.5,5.1,12.4
2005-01-12,0.9,4.6,1.0
2005-01-13,3.3,4.9,0.0
2005-01-14,0.7,4.2,1.9
2005-01-15,-4.9,0.8,0.0
2005-01-16,-5.2,-0.2,1.3
2005-01-17,-0.5,3.0,3.9
2005-01-18,-1.8,1.3,0.2
2005-01-19,-2.2,0.1,0.0
2005-01-20,-1.9,0.3,0.5
2005-01-21,-0.5,0.9,1.0
2005-01-22,-1.3,0.8,0.9
2005-01-23,-1.6,1.0,5.5
2005-01-24,-1.3,0.9,0.5
2005-01-25,-5.7,-1.3,0.7
2005-01-26,-9.2,-4.3,2.2
2005-01-27,-14.4,-4.3,0.0
2005-01-28,-14.9,-6.9,2.0
2005-01-29,-10.0,-6.9,0.2
2005-01-30,-12.9,-9.1,0.0
2005-01-31,-10.1,-5.0,4.1
2005-02-01,-9.8,-5.3,3.4
2005-02-02,-8.7,-5.1,1.0
2005-02-03,-8.3,-5.1,0.0
2005-02-04,-12.3,-8.2,0.0
2005-02-05,-10.6,-4.3,0.0
2005-02-06,-7.0,-1.0,0.8
2005-02-07,-2.0,-0.1,0.9
2005-02-08,-5.3,-1.7,0.0
2005-02-09,-12.5,-0.3,0.0
2005-02-10,-9.5,0.6,0.0
2005-02-11,-3.0,-0.4,1.3
2005-02-12,-1.4,0.3,0.0
2005-02-13,-4.3,-1.3,0.0
2005-02-14,-8.2,-4.3,0.9
2005-02-15,-7.6,-2.8,2.1
2005-02-16,-5.6,-0.9,0.0
2005-02-17,-5.2,-2.4,0.0
2005-02-18,-4.7,-2.6,0.2
2005-02-19,-4.6,-1.6,0.0
2005-02-20,-6.2,-3.3,0.7
2005-02-21,-10.7,-4.7,1.2
2005-02-22,-14.6,-9.1,0.0
2005-02-23,-15.0,-6.7,0.0
2005-02-24,-14.5,-4.1,0.0
2005-02-25,-13.2,-5.3,0.4
2005-02-26,-14.9,-6.9,0.0
2005-02-27,-14.7,-7.7,0.0
2005-02-28,-17.5,-9.2,0.8
2005-03-01,-15.7,-10.0,0.0
2005-03-02,-16.5,-8.3,0.0
2005-03-03,-15.1,-3.7,0.0
2005-03-04,-10.5,-1.7,0.2
2005-03-05,-8.5,-1.2,0.0
2005-03-06,-7.9,-2.0,0.3
2005-03-07,-6.1,-3.1,5.6
2005-03-08,-6.6,-4.0,2.3
2005-03-09,-9.1,-5.3,0.6
2005-03-10,-13.0,-4.6,0.0
2005-03-11,-12.9,-7.4,1.7
2005-03-12,-14.2,-6.8,0.6
2005-03-13,-13.0,-8.3,1.2
2005-03-14,-17.4,-7.7,0.3
2005-03-15,-15.5,-5.7,0.2
2005-03-16,-15.5,-2.0,0.0
2005-03-17,-10.8,-2.9,4.8
2005-03-18,-7.8,-3.4,4.7
2005-03-19,-12.0,-2.9,0.4
2005-03-20,-6.7,-3.3,0.2
2005-03-21,-10.0,0.7,0.0
2005-03-22,-9.5,-0.1,0.0
2005-03-23,-12.6,1.5,0.0
2005-03-24,-3.6,6.4,0.0
2005-03-25,-0.9,6.2,1.6
2005-03-26,0.7,5.5,0.3
2005-03-27,-3.0,2.6,0.0
2005-03-28,-7.1,-1.5,0.0
2005-03-29,-10.8,0.2,0.0
2005-03-30,-7.4,2.3,0.0
2005-03-31,-3.6,6.7,0.0
2005-04-01,-2.6,6.6,0.0
2005-04-02,-3.6,8.2,0.0
2005-04-03,1.5,8.0,0.0
2005-04-04,-0.2,11.9,0.0
2005-04-05,4.0,16.3,0.0
2005-04-06,2.5,13.3,0.0
2005-04-07,1.1,11.7,0.0
2005-04-08,5.9,13.7,2.9
2005-04-09,6.3,13.7,3.6
2005-04-10,1.7,8.2,12.8
2005-04-11,-0.1,8.4,4.9
2005-04-12,1.5,9.9,1.9
2005-04-13,6.1,11.6,0.0
2005-04-14,3.7,10.8,0.0
2005-04-15,1.2,18.6,0.0
2005-04-16,4.5,13.3,0.0
2005-04-17,2.8,12.3,0.0
2005-04-18,0.5,8.7,0.0
2005-04-19,-0.9,4.9,0.0
2005-04-20,-3.7,2.0,0.8
2005-04-21,-3.4,0.2,3.2
2005-04-22,-6.2,2.3,0.0
2005-04-23,-2.0,2.6,0.0
2005-04-24,-1.7,6.8,0.0
2005-04-25,-0.6,10.7,0.0
2005-04-26,-0.5,12.1,0.0
2005-04-27,2.1,12.4,0.0
2005-04-28,5.3,9.2,4.5
2005-04-29,4.2,6.5,0.0
2005-04-30,2.5,5.8,3.3
2005-05-01,2.5,4.4,0.0
2005-05-02,1.3,8.4,0.0
2005-05-03,1.5,13.2,0.0
2005-05-04,6.6,9.8,2.1
2005-05-05,3.8,10.9,0.0
2005-05-06,7.1,9.2,4.9
2005-05-07,6.0,13.3,0.0
2005-05-08,8.9,12.6,10.5
2005-05-09,7.3,12.6,8.9
2005-05-10,4.7,10.3,3.6
2005-05-11,4.7,8.7,6.8
2005-05-12,6.2,17.7,0.0
2005-05-13,7.6,13.0,4.5
2005-05-14,6.5,8.7,2.6
2005-05-15,6.1,16.5,0.0
2005-05-16,5.4,19.8,0.8
2005-05-17,10.6,15.6,0.0
2005-05-18,8.9,16.1,3.8
2005-05-19,7.1,11.5,10.9
2005-05-20,7.0,15.3,0.0
2005-05-21,4.9,19.3,0.0
2005-05-22,8.7,23.1,0.0
2005-05-23,12.5,24.8,0.0
2005-05-24,14.1,27.9,0.0
2005-05-25,13.7,25.9,1.3
2005-05-26,11.5,18.2,0.0
2005-05-27,12.2,20.5,1.3
2005-05-28,10.6,15.5,0.0
2005-05-29,8.4,13.4,0.0
2005-05-30,10.0,15.8,0.0
2005-05-31,10.2,17.4,0.0
2005-06-01,8.6,13.5,20.9
2005-06-02,6.5,15.6,3.4
2005-06-03,7.7,16.5,0.0
2005-06-04,6.6,19.7,0.0
2005-06-05,12.6,18.0,7.8
2005-06-06,12.6,18.7,1.8
2005-06-07,10.4,17.4,0.0
2005-06-08,11.8,17.2,0.2
2005-06-09,9.8,19.1,0.0
2005-06-10,10.3,20.2,0.0
2005-06-11,10.3,22.7,0.0
2005-06-12,15.6,21.0,13.0
2005-06-13,15.4,27.7,5.5
2005-06-14,14.4,16.9,0.0
2005-06-15,14.7,21.3,0.0
2005-06-16,11.1,19.4,2.2
2005-06-17,14.3,21.1,0.5
2005-06-18,14.0,23.9,0.0
2005-06-19,12.5,20.5,0.8
2005-06-20,8.4,17.8,0.0
2005-06-21,7.7,20.3,0.0
2005-06-22,8.7,22.9,0.0
2005-06-23,10.7,22.4,0.0
2005-06-24,15.7,23.7,0.0
2005-06-25,16.0,23.8,4.0
2005-06-26,11.5,17.6,7.0
2005-06-27,12.0,18.3,0.0
2005-06-28,11.7,17.5,4.1
2005-06-29,11.7,17.5,0.5
2005-06-30,11.7,20.3,0.0
2005-07-01,12.2,20.1,1.4
2005-07-02,9.7,21.0,0.0
2005-07-03,12.6,22.1,0.0
2005-07-04,12.9,25.1,0.0
2005-07-05,15.2,24.9,2.0
2005-07-06,15.4,26.9,0.0
2005-07-07,12.3,20.5,0.0
2005-07-08,10.8,23.0,0.0
2005-07-09,12.3,27.0,0.0
2005-07-10,15.4,26.5,0.0
2005-07-11,18.3,28.5,0.0
2005-07-12,17.7,27.5,1.4
2005-07-13,18.0,28.5,0.0
2005-07-14,20.9,27.4,0.0
2005-07-15,16.9,27.3,2.6
2005-07-16,16.4,29.8,0.0
2005-07-17,20.0,29.0,0.0
2005-07-18,17.5,25.3,0.0
2005-07-19,18.6,23.5,5.1
2005-07-20,17.0,27.1,0.0
2005-07-21,16.4,24.7,26.1
2005-07-22,17.1,22.8,39.2
2005-07-23,16.0,21.8,14.8
2005-07-24,15.5,24.4,0.0
2005-07-25,16.0,22.7,6.7
2005-07-26,16.1,25.8,0.0
2005-07-27,17.1,23.3,16.8
2005-07-28,15.6,21.7,0.3
2005-07-29,17.3,21.1,0.0
2005-07-30,16.2,24.1,0.4
2005-07-31,17.6,23.3,10.0
2005-08-01,18.8,22.8,0.0
2005-08-02,17.0,21.8,0.8
2005-08-03,15.8,19.0,17.4
2005-08-04,13.3,23.3,0.0
2005-08-05,16.7,21.1,2.8
2005-08-06,14.6,24.4,0.0
2005-08-07,17.3,25.0,5.5
2005-08-08,17.5,27.3,0.0
2005-08-09,19.7,28.1,1.9
2005-08-10,15.5,20.9,1.1
2005-08-11,15.6,22.9,0.0
2005-08-12,15.4,20.8,5.8
2005-08-13,15.9,18.9,3.1
2005-08-14,14.8,20.9,1.2
2005-08-15,14.4,20.2,0.0
2005-08-16,13.9,20.0,0.0
2005-08-17,12.7,18.3,2.4
2005-08-18,11.7,18.6,0.0
2005-08-19,10.7,21.3,0.0
