Date;All sky;Clear sky
2004\1\1;5.54;0.37
2004\1\2;4.39;0.39
2004\1\3;5.29;0.41
2004\1\4;5.25;0.41
2004\1\5;4.42;0.41
2004\1\6;4.12;0.43
2004\1\7;4.43;0.44
2004\1\8;5.66;0.46
2004\1\9;5.59;0.47
2004\1\10;4.40;0.46
2004\1\11;4.92;0.47
2004\1\12;5.48;0.50
2004\1\13;5.93;0.50
2004\1\14;5.83;0.52
2004\1\15;6.11;0.53
2004\1\16;5.21;0.56
2004\1\17;4.75;0.59
2004\1\18;5.51;0.60
2004\1\19;4.72;0.63
2004\1\20;4.89;0.67
2004\1\21;5.10;0.68
2004\1\22;5.00;0.70
2004\1\23;4.29;0.75
2004\1\24;4.63;0.78
2004\1\25;5.07;0.78
2004\1\26;5.68;0.83
2004\1\27;5.68;0.89
2004\1\28;5.60;0.93
2004\1\29;5.54;0.95
2004\1\30;5.33;1.04
2004\1\31;4.73;1.05
2004\2\1;6.54;1.07
2004\2\2;6.07;1.17
2004\2\3;5.67;1.12
2004\2\4;6.25;1.14
2004\2\5;6.19;1.19
2004\2\6;4.95;1.30
2004\2\7;5.79;1.30
2004\2\8;5.56;1.40
2004\2\9;6.06;1.38
2004\2\10;5.63;1.53
2004\2\11;5.53;1.56
2004\2\12;5.29;1.59
2004\2\13;5.34;1.60
2004\2\14;5.87;1.59
2004\2\15;5.60;1.69
2004\2\16;5.84;1.80
2004\2\17;5.93;1.82
2004\2\18;5.86;1.94
2004\2\19;5.45;2.01
2004\2\20;5.76;1.90
2004\2\21;6.09;1.97
2004\2\22;5.69;2.11
2004\2\23;6.21;2.12
2004\2\24;5.97;2.27
2004\2\25;6.15;2.32
2004\2\26;5.95;2.33
2004\2\27;5.92;2.38
2004\2\28;6.20;2.48
2004\2\29;5.89;2.58
2004\3\1;4.96;2.63
2004\3\2;5.86;2.62
2004\3\3;5.91;2.74
2004\3\4;5.48;2.86
2004\3\5;6.13;2.87
2004\3\6;6.08;2.94
2004\3\7;5.80;2.82
2004\3\8;6.39;3.02
2004\3\9;5.39;3.16
2004\3\10;5.15;3.23
2004\3\11;5.80;3.12
2004\3\12;5.83;3.30
2004\3\13;5.57;3.38
2004\3\14;6.29;3.50
2004\3\15;6.49;3.50
2004\3\16;6.65;3.53
2004\3\17;6.46;3.72
2004\3\18;6.62;3.80
2004\3\19;5.85;3.84
2004\3\20;6.63;3.81
2004\3\21;7.19;3.93
2004\3\22;6.87;4.03
2004\3\23;6.18;4.05
2004\3\24;6.20;4.24
2004\3\25;6.95;4.20
2004\3\26;7.25;4.32
2004\3\27;6.62;4.34
2004\3\28;6.39;4.53
2004\3\29;5.70;4.69
2004\3\30;6.26;4.73
2004\3\31;5.96;4.81
2004\4\1;5.54;4.90
2004\4\2;5.85;4.98
2004\4\3;6.23;4.89
2004\4\4;5.52;5.07
2004\4\5;5.44;5.27
2004\4\6;5.56;5.23
2004\4\7;5.57;5.39
2004\4\8;5.76;5.45
2004\4\9;6.45;5.33
2004\4\10;6.98;5.53
2004\4\11;6.04;5.67
2004\4\12;6.75;5.54
2004\4\13;6.76;5.59
2004\4\14;7.20;5.68
2004\4\15;6.89;5.81
2004\4\16;5.70;5.96
2004\4\17;5.96;6.10
2004\4\18;6.06;6.15
2004\4\19;6.35;6.25
2004\4\20;6.39;6.23
2004\4\21;7.95;6.01
2004\4\22;5.87;5.98
2004\4\23;5.46;6.37
2004\4\24;5.80;6.36
2004\4\25;5.33;6.76
2004\4\26;5.36;6.99
2004\4\27;6.14;6.95
2004\4\28;7.44;6.50
2004\4\29;7.61;6.61
2004\4\30;6.43;7.00
2004\5\1;7.39;6.97
2004\5\2;7.52;6.13
2004\5\3;6.53;6.98
2004\5\4;7.10;7.04
2004\5\5;8.34;6.73
2004\5\6;8.81;6.83
2004\5\7;7.60;6.74
2004\5\8;7.43;6.98
2004\5\9;7.93;6.97
2004\5\10;7.97;6.98
2004\5\11;7.61;7.07
2004\5\12;6.95;7.74
2004\5\13;7.33;7.80
2004\5\14;7.52;7.52
2004\5\15;7.72;7.40
2004\5\16;7.49;5.64
2004\5\17;6.69;7.76
2004\5\18;7.48;7.67
2004\5\19;7.38;7.37
2004\5\20;7.90;7.60
2004\5\21;7.47;7.75
2004\5\22;6.96;7.83
2004\5\23;6.96;7.92
2004\5\24;6.61;8.09
2004\5\25;7.45;6.70
2004\5\26;7.19;8.19
2004\5\27;8.13;7.84
2004\5\28;7.46;5.92
2004\5\29;7.91;8.04
2004\5\30;7.43;8.21
2004\5\31;7.74;8.07
2004\6\1;7.53;8.06
2004\6\2;7.64;8.12
2004\6\3;7.19;8.47
2004\6\4;7.44;8.41
2004\6\5;7.71;8.44
2004\6\6;8.03;7.98
2004\6\7;7.35;8.65
2004\6\8;7.85;7.96
