Date,All sky,Clear sky
2004-01-01,5.54,0.37
2004-01-01,4.39,0.39
2004-01-01,5.29,0.41
2004-01-01,5.25,0.41
2004-01-01,4.42,0.41
2004-01-01,4.12,0.43
2004-01-01,4.43,0.44
2004-01-01,5.66,0.46
2004-01-01,5.59,0.47
2004-01-01,4.4,0.46
2004-01-01,4.92,0.47
2004-01-01,5.48,0.5
2004-01-01,5.93,0.5
2004-01-01,5.83,0.52
2004-01-01,6.11,0.53
2004-01-01,5.21,0.56
2004-01-01,4.75,0.59
2004-01-01,5.51,0.6
2004-01-01,4.72,0.63
2004-01-01,4.89,0.67
2004-01-01,5.1,0.68
2004-01-01,5.0,0.7
2004-01-01,4.29,0.75
2004-01-01,4.63,0.78
2004-01-01,5.07,0.78
2004-01-01,5.68,0.83
2004-01-01,5.68,0.89
2004-01-01,5.6,0.93
2004-01-01,5.54,0.95
2004-01-01,5.33,1.04
2004-01-01,4.73,1.05
2004-01-01,6.54,1.07
2004-01-01,6.07,1.17
2004-01-01,5.67,1.12
2004-01-01,6.25,1.14
2004-01-01,6.19,1.19
2004-01-01,4.95,1.3
2004-01-01,5.79,1.3
2004-01-01,5.56,1.4
2004-01-01,6.06,1.38
2004-01-01,5.63,1.53
2004-01-01,5.53,1.56
2004-01-01,5.29,1.59
2004-01-01,5.34,1.6
2004-01-01,5.87,1.59
2004-01-01,5.6,1.69
2004-01-01,5.84,1.8
2004-01-01,5.93,1.82
2004-01-01,5.86,1.94
2004-01-01,5.45,2.01
2004-01-01,5.76,1.9
2004-01-01,6.09,1.97
2004-01-01,5.69,2.11
2004-01-01,6.21,2.12
2004-01-01,5.97,2.27
2004-01-01,6.15,2.32
2004-01-01,5.95,2.33
2004-01-01,5.92,2.38
2004-01-01,6.2,2.48
2004-01-01,5.89,2.58
2004-01-01,4.96,2.63
2004-01-01,5.86,2.62
2004-01-01,5.91,2.74
2004-01-01,5.48,2.86
2004-01-01,6.13,2.87
2004-01-01,6.08,2.94
2004-01-01,5.8,2.82
2004-01-01,6.39,3.02
2004-01-01,5.39,3.16
2004-01-01,5.15,3.23
2004-01-01,5.8,3.12
2004-01-01,5.83,3.3
2004-01-01,5.57,3.38
2004-01-01,6.29,3.5
2004-01-01,6.49,3.5
2004-01-01,6.65,3.53
2004-01-01,6.46,3.72
2004-01-01,6.62,3.8
2004-01-01,5.85,3.84
2004-01-01,6.63,3.81
2004-01-01,7.19,3.93
2004-01-01,6.87,4.03
2004-01-01,6.18,4.05
2004-01-01,6.2,4.24
2004-01-01,6.95,4.2
2004-01-01,7.25,4.32
2004-01-01,6.62,4.34
2004-01-01,6.39,4.53
