;Category;Name;Place;Origin;Sowing date;Crop date;Bloom date;Sow to Crop;Crop to Bloom;Harvest
0;10044;СибНИИСХ 6;Пушкин;Россия;2004-05-11;2004-06-07;2004-07-16;27.0;39.0;190.92
9;10044;СибНИИСХ 6;Пушкин;Россия;2004-05-11;2004-06-07;2004-07-13;27.0;36.0;128.76
18;10388;Соер 13-91;Пушкин;Россия;2004-05-11;2004-06-07;2004-07-19;27.0;42.0;366.3
26;10388;Соер 13-91;Пушкин;Россия;2004-05-11;2004-06-07;2004-07-16;27.0;39.0;288.6
34;10623;Мадева;Пушкин;Россия;2004-05-11;2004-06-07;2004-07-24;27.0;47.0;428.46
38;10658;ПЭП 26;Пушкин;Россия;2004-05-11;2004-06-07;2004-07-21;27.0;44.0;266.4
46;10658;ПЭП 26;Пушкин;Россия;2004-05-11;2004-06-07;2004-07-21;27.0;44.0;559.44
55;10659;ПЭП 27;Пушкин;Россия;2004-05-11;2004-06-07;2004-07-16;27.0;39.0;248.64
62;10660;ПЭП 28;Пушкин;Россия;2004-05-11;2004-06-07;2004-07-19;27.0;42.0;295.26
71;10677;Степная 90;Пушкин;Россия;2004-05-11;2004-06-07;2004-07-19;27.0;42.0;119.88
79;10677;Степная 90;Пушкин;Россия;2004-05-11;2004-06-07;2004-07-21;27.0;44.0;99.9
86;10678;СибНИИК 15/83;Пушкин;Россия;2004-05-11;2004-06-07;2004-07-19;27.0;42.0;144.3
92;10678;СибНИИК 15/83;Пушкин;Россия;2004-05-11;2004-06-07;2004-07-19;27.0;42.0;333.0
101;10680;Восход*1191/79;Пушкин;Россия;2004-05-11;2004-06-07;2004-07-21;27.0;44.0;64.38
108;5589;Fiskeby 840-2-7;Пушкин;Швеция;2004-05-11;2004-06-07;2004-07-21;27.0;44.0;357.42
117;5826;Fiskeby 840-7-3;Пушкин;Швеция;2004-05-11;2004-06-07;2004-07-21;27.0;44.0;301.92
126;5826;Fiskeby 840-7-3;Пушкин;Швеция;2004-05-11;2004-06-07;2004-07-19;27.0;42.0;326.34
136;5829;Fiskeby V;Пушкин;Швеция;2004-05-11;2004-06-07;2004-07-19;27.0;42.0;397.38
144;5829;Fiskeby V;Пушкин;Швеция;2004-05-11;2004-06-07;2004-07-19;27.0;42.0;241.98
153;5830;Fiskeby 1040-4-2;Пушкин;Швеция;2004-05-11;2004-06-07;2004-07-19;27.0;42.0;310.8
161;5830;Fiskeby 1040-4-2;Пушкин;Швеция;2004-05-11;2004-06-07;2004-07-19;27.0;42.0;539.46
170;6793;Bravalla;Пушкин;Швеция;2004-05-11;2004-06-07;2004-07-13;27.0;36.0;162.06
179;6793;Bravalla;Пушкин;Швеция;2004-05-11;2004-06-07;2004-07-13;27.0;36.0;570.54
188;9587;Белор;Пушкин;Россия;2004-05-11;2004-06-07;2004-07-19;27.0;42.0;435.12
198;9587;Белор;Пушкин;Россия;2004-05-11;2004-06-07;2004-07-19;27.0;42.0;250.86
207;9648;Mapl Ridge;Пушкин;Канада;2004-05-11;2004-06-07;2004-07-16;27.0;39.0;417.36
215;9648;Mapl Ridge;Пушкин;Канада;2004-05-11;2004-06-07;2004-07-13;27.0;36.0;246.42
223;9659;Магева;Пушкин;Россия;2004-05-11;2004-06-07;2004-07-21;27.0;44.0;290.82
231;9659;Магева;Пушкин;Россия;2004-05-11;2004-06-07;2004-07-21;27.0;44.0;408.48
