;Category;Name;Place;Origin;Sowing date;Crop date;Bloom date;Sow to Crop;Crop to Bloom;Harvest;Protein;Oil
0;10044;СибНИИСХ 6;Пушкин;Россия;2004-05-11;2004-06-07;2004-07-16;27.0;39.0;190.92;44.6;15.6
18;10388;Соер 13-91;Пушкин;Россия;2004-05-11;2004-06-07;2004-07-19;27.0;42.0;366.3;43.4;16.7
34;10623;Мадева;Пушкин;Россия;2004-05-11;2004-06-07;2004-07-24;27.0;47.0;428.46;46.5;15.5
38;10658;ПЭП 26;Пушкин;Россия;2004-05-11;2004-06-07;2004-07-21;27.0;44.0;266.4;43.4;15.8
55;10659;ПЭП 27;Пушкин;Россия;2004-05-11;2004-06-07;2004-07-16;27.0;39.0;248.64;27.8;16.2
62;10660;ПЭП 28;Пушкин;Россия;2004-05-11;2004-06-07;2004-07-19;27.0;42.0;295.26;33.8;18.3
71;10677;Степная 90;Пушкин;Россия;2004-05-11;2004-06-07;2004-07-19;27.0;42.0;119.88;46.7;14.9
86;10678;СибНИИК 15/83;Пушкин;Россия;2004-05-11;2004-06-07;2004-07-19;27.0;42.0;144.3;44.5;16.5
101;10680;Восход*1191/79;Пушкин;Россия;2004-05-11;2004-06-07;2004-07-21;27.0;44.0;64.38;42.5;16.2
108;5589;Fiskeby 840-2-7;Пушкин;Швеция;2004-05-11;2004-06-07;2004-07-21;27.0;44.0;357.42;39.0;17.3
117;5826;Fiskeby 840-7-3;Пушкин;Швеция;2004-05-11;2004-06-07;2004-07-21;27.0;44.0;301.92;36.8;16.8
136;5829;Fiskeby V;Пушкин;Швеция;2004-05-11;2004-06-07;2004-07-19;27.0;42.0;397.38;37.2;17.6
153;5830;Fiskeby 1040-4-2;Пушкин;Швеция;2004-05-11;2004-06-07;2004-07-19;27.0;42.0;310.8;40.2;18.4
170;6793;Bravalla;Пушкин;Швеция;2004-05-11;2004-06-07;2004-07-13;27.0;36.0;162.06;41.7;16.7
188;9587;Белор;Пушкин;Россия;2004-05-11;2004-06-07;2004-07-19;27.0;42.0;435.12;42.0;16.3
207;9648;Mapl Ridge;Пушкин;Канада;2004-05-11;2004-06-07;2004-07-16;27.0;39.0;417.36;41.5;15.9
223;9659;Магева;Пушкин;Россия;2004-05-11;2004-06-07;2004-07-21;27.0;44.0;290.82;41.5;15.6
246;9837;Sito;Пушкин;Германия;2004-05-11;2004-06-07;2004-07-19;27.0;42.0;486.18;39.8;16.9
252;9922;Major;Пушкин;Франция;2004-05-11;2004-06-07;2004-07-16;27.0;39.0;517.26;40.6;15.8
268;9951;УСХИ 6;Пушкин;Россия;2004-05-11;2004-06-07;2004-07-16;27.0;39.0;82.14;43.0;15.4
299;9953;Соер 4;Пушкин;Россия;2004-05-11;2004-06-07;2004-07-24;27.0;47.0;184.26;42.4;14.6
307;9959;Окская;Пушкин;Россия;2004-05-11;2004-06-07;2004-07-24;27.0;47.0;215.34;44.1;14.9
315;9960;Светлая;Пушкин;Россия;2004-05-11;2004-06-07;2004-07-16;27.0;39.0;275.28;42.0;16.6
333;10043;Алтом;Пушкин;Россия;2004-05-26;2004-06-07;2004-07-26;12.0;47.0;179.82;41.2;14.9
348;10044;СибНИИСХ 6;Пушкин;Россия;2004-05-26;2004-06-07;2004-07-21;12.0;42.0;193.14;44.7;15.3
368;10388;Соер 13-91;Пушкин;Россия;2004-05-26;2004-06-07;2004-07-19;12.0;40.0;177.6;44.8;15.5
388;10539;Соер 13-91;Пушкин;Россия;2004-05-26;2004-06-07;2004-07-21;12.0;42.0;166.5;45.6;15.3
406;10623;Мадева;Пушкин;Россия;2004-05-26;2004-06-07;2004-07-19;12.0;40.0;95.46;49.1;13.8
420;10651;ПЭП 2;Пушкин;Россия;2004-05-26;2004-06-07;2004-07-21;12.0;42.0;64.38;45.8;14.6
434;10654;ПЭП 17;Пушкин;Россия;2004-05-26;2004-06-07;2004-07-19;12.0;40.0;53.28;43.2;16.2
451;10655;ПЭП 18;Пушкин;Россия;2004-05-26;2004-06-07;2004-07-19;12.0;40.0;150.96;44.2;15.2
467;10658;ПЭП 26;Пушкин;Россия;2004-05-26;2004-06-07;2004-07-19;12.0;40.0;419.58;40.9;15.9
482;10659;ПЭП 27;Пушкин;Россия;2004-05-26;2004-06-10;2004-07-20;15.0;40.0;202.02;27.4;15.9
497;10660;ПЭП 28;Пушкин;Россия;2004-05-26;2004-06-07;2004-07-19;12.0;40.0;235.32;39.5;16.5
512;10676;Степная 85;Пушкин;Россия;2004-05-26;2004-06-07;2004-07-21;12.0;42.0;150.96;45.1;15.6
531;10677;Степная 90;Пушкин;Россия;2004-05-26;2004-06-07;2004-07-21;12.0;42.0;157.62;46.5;15.1
549;10678;СибНИИК 15/83;Пушкин;Россия;2004-05-26;2004-06-07;2004-07-21;12.0;42.0;213.12;45.7;16.2
567;10680;Восход*1191/79;Пушкин;Россия;2004-05-26;2004-06-07;2004-07-21;12.0;42.0;361.86;43.0;15.4
584;5589;Fiskeby 840-2-7;Пушкин;Швеция;2004-05-26;2004-06-07;2004-07-21;12.0;42.0;330.78;38.8;17.5
604;5826;Fiskeby 840-7-3;Пушкин;Швеция;2004-05-26;2004-06-07;2004-07-24;12.0;45.0;150.96;36.9;16.0
622;5829;Fiskeby V;Пушкин;Швеция;2004-05-26;2004-06-07;2004-07-24;12.0;45.0;126.54;36.5;16.3
651;5830;Fiskeby 1040-4-2;Пушкин;Швеция;2004-05-26;2004-06-07;2004-07-21;12.0;42.0;173.16;39.8;17.3
668;6793;Bravalla;Пушкин;Швеция;2004-05-26;2004-06-07;2004-07-19;12.0;40.0;330.78;40.5;16.5
688;9587;Белор;Пушкин;Россия;2004-05-26;2004-06-07;2004-07-21;12.0;42.0;142.08;42.4;15.9
702;9648;Mapl Ridge;Пушкин;Канада;2004-05-26;2004-06-07;2004-07-19;12.0;40.0;155.4;41.9;15.6
720;9659;Магева;Пушкин;Россия;2004-05-26;2004-06-07;2004-07-21;12.0;44.0;155.4;42.6;15.0
739;9837;Sito;Пушкин;Германия;2004-05-26;2004-06-07;2004-07-19;12.0;40.0;130.98;40.4;16.4
756;9922;Major;Пушкин;Франция;2004-05-26;2004-06-07;2004-07-19;12.0;40.0;170.94;41.7;14.9
